,rank,batch_size,learning_rate,MAE,MSE,RMSE,R2,MAPE,Trainable Params,All Params,Trainable Percentage,Runtime,method,pearson
0,16,128,0.001,0.4306204,0.4439451,0.6662921,0.7623894214630127,77.89298892021179,590593,90268417,0.6542631627183625,4.3994,LoRA,
1,2,128,0.001,0.4748786985874176,0.5125863552093506,0.7159513831138611,0.7256509065628052,86.92526817321777,74497,89752321,0.0830028674133118,2.6723,LoRA,
2,4,128,0.001,0.4644808173179626,0.4897299110889435,0.6998070478439331,0.7378841638565063,87.80800700187683,148225,89826049,0.1650133804727401,2.6621,LoRA,
3,0,128,0.001,0.7762898206710815,1.047703981399536,1.0235741138458252,0.439242422580719,118.70741844177246,769,89678593,0.0008575067630688,2.5205,baseline,
4,0,128,0.0001,0.9097041487693788,1.3821557760238647,1.1756511926651,0.2602354288101196,125.37493705749512,769,89678593,0.0008575067630688,2.5099,baseline,
5,0,128,0.01,0.7655863761901855,1.0206705331802368,1.0102823972702026,0.4537113904953003,122.22802639007568,769,89678593,0.0008575067630688,2.5234,baseline,
6,8,128,0.001,0.5026153922080994,0.5457494854927063,0.7387486100196838,0.707901120185852,93.05874705314636,295681,89973505,0.3286311898152684,2.6649,LoRA,
7,32,128,0.001,0.4754191935062408,0.5190946459770203,0.7204822301864624,0.7221674919128418,91.48142337799072,1180417,90858241,1.2991853980532158,2.657,LoRA,
8,16,128,0.01,1.1896382570266724,1.8683726787567136,1.3668843507766724,-2.384185791015625e-07,126.33386850357056,590593,90268417,0.6542631627183625,2.6251,LoRA,
9,16,128,0.0001,0.5192860960960388,0.599264919757843,0.7741220593452454,0.6792582869529724,96.28003239631651,590593,90268417,0.6542631627183625,2.6563,LoRA,
10,16,512,0.001,0.4839974343776703,0.534876823425293,0.7313527464866638,0.713720440864563,86.39518618583679,590593,90268417,0.6542631627183625,2.6643,LoRA,
11,16,32,0.001,0.3944370746612549,0.3865455090999603,0.6217278242111206,0.7931110858917236,66.92407727241516,590593,90268417,0.6542631627183625,2.7644,LoRA,
12,16,8,0.001,0.4084726572036743,0.3960135281085968,0.629296064376831,0.7880435585975647,69.17031407356262,590593,90268417,0.6542631627183625,3.1152,LoRA,
13,16,64,0.001,0.4252899885177612,0.4297493994235992,0.6555527448654175,0.7699872851371765,76.88371539115906,590593,90268417,0.6542631627183625,2.7038,LoRA,
14,16,128,0.002,0.4314925074577331,0.4391372203826904,0.6626743078231812,0.7649626731872559,81.02747797966003,609025,90286849,0.6745445286278625,3.1233,DoRA,
15,16,128,0.01,1.1462689638137815,1.9095888137817385,1.3818787336349487,-0.0220600366592407,138.17874193191528,609025,90286849,0.6745445286278625,3.0806,DoRA,
16,16,128,0.0001,0.5186144113540649,0.5981245636940002,0.7733851075172424,0.6798686981201172,96.3083803653717,609025,90286849,0.6745445286278625,3.1264,DoRA,
17,16,32,0.002,0.3816354870796203,0.3597888946533203,0.599824070930481,0.8074319362640381,69.99980807304382,609025,90286849,0.6745445286278625,3.2869,DoRA,
18,16,8,0.002,1.1731727123260498,1.873201489448548,1.3686494827270508,-0.00258469581604,130.1847219467163,609025,90286849,0.6745445286278625,3.7302,DoRA,
19,16,512,0.002,0.4681479036808014,0.4964885413646698,0.7046194076538086,0.7342668175697327,84.66579914093018,609025,90286849,0.6745445286278625,3.105,DoRA,
20,16,64,0.002,0.4007371664047241,0.3774437010288238,0.6143644452095032,0.7979826331138611,70.75148224830627,609025,90286849,0.6745445286278625,3.1932,DoRA,
21,0,128,0.001,0.5885002613067627,0.7247124314308167,0.8513004183769226,0.6121156215667725,107.59948492050172,65281,89743105,0.0727420786254275,2.6593,IA3,
23,0,128,0.01,0.5598814487457275,0.6202123165130615,0.7875356078147888,0.6680467128753662,103.68714332580566,65281,89743105,0.0727420786254275,2.6734,IA3,
24,0,128,0.0001,0.7782701849937439,1.077886939048767,1.0382133722305298,0.4230877757072449,120.3315019607544,65281,89743105,0.0727420786254275,2.6661,IA3,
